premise,hypothesis,label
Number of Packages: 2,This example is about DateAndTimes,contradiction
Service Type: Freight,This example is about Timestamp,contradiction
Number of Packages: 7,This example is about TotalPackages,entailment
Package Weight: 92.03 KG,This example is about TotalWeight,entailment
Number of Packages: 4,This example is about TotalPackages,entailment
Package Weight: 32.6 KG,This example is about TotalWeight,entailment
Shipment ID: UPS179205605352,This example is about HousebillNumber,entailment
Shipment Status: Departed facility at 2024-04-13 23:33:58,This example is about Timestamp,entailment
Package Weight: 64.86 KG,This example is about TotalWeight,entailment
Shipment ID: DHL204505587339,This example is about HousebillNumber,entailment
"Destination: Mumbai, GB",This example is about ProductType,contradiction
Service Type: Express,This example is about ProductType,entailment
Package Volume: 0.871 m³,This example is about TotalVolume,entailment
"Origin: New York, AU",This example is about ProductType,contradiction
Scheduled DateAndTimes: 2023-05-01 17:16:54,This example is about Destination,contradiction
Shipment Status: Picked up at 2024-07-26 14:14:32,This example is about Destination,contradiction
Number of Packages: 2,This example is about Origin,contradiction
Shipment ID: FDX705303409121,This example is about HousebillNumber,entailment
Shipment ID: FDX118055074723,This example is about HousebillNumber,entailment
"Destination: Tokyo, GB",This example is about TotalVolume,contradiction
Shipment ID: 1Z999529766694,This example is about HousebillNumber,entailment
Shipment ID: UPS150481415329,This example is about HousebillNumber,entailment
Shipment ID: 1Z645066630188,This example is about HousebillNumber,entailment
"Destination: Mumbai, FR",This example is about Destination,entailment
Package Volume: 0.712 m³,This example is about Timestamp,contradiction
Package Volume: 0.937 m³,This example is about TotalVolume,entailment
"Destination: Toronto, AU",This example is about Destination,entailment
"Origin: Mumbai, DE",This example is about TotalVolume,contradiction
Number of Packages: 8,This example is about TotalPackages,entailment
Package Weight: 65.42 KG,This example is about DateAndTimes,contradiction
Number of Packages: 6,This example is about Timestamp,contradiction
"Destination: Sydney, AE",This example is about Destination,entailment
Service Type: Same Day,This example is about TotalWeight,contradiction
Shipment ID: 1Z383976465568,This example is about HousebillNumber,entailment
Shipment Status: Delivered at 2024-05-09 06:10:21,This example is about Origin,contradiction
Package Volume: 0.672 m³,This example is about TotalVolume,entailment
"Origin: London, GB",This example is about Destination,contradiction
Package Weight: 99.93 KG,This example is about TotalWeight,entailment
Package Volume: 0.695 m³,This example is about TotalVolume,entailment
Shipment Status: In transit at 2024-08-02 19:30:18,This example is about ProductType,contradiction
Service Type: Next Day Air,This example is about TotalVolume,contradiction
Number of Packages: 7,This example is about ProductType,contradiction
Package Weight: 87.77 KG,This example is about Timestamp,contradiction
Number of Packages: 3,This example is about Timestamp,contradiction
Package Weight: 84.92 KG,This example is about TotalWeight,entailment
Number of Packages: 3,This example is about TotalPackages,entailment
Shipment ID: DHL181918921656,This example is about HousebillNumber,entailment
Shipment ID: UPS660278980173,This example is about HousebillNumber,entailment
Service Type: Ground,This example is about ProductType,entailment
Service Type: Ground,This example is about ProductType,entailment
Package Weight: 84.92 KG,This example is about Timestamp,contradiction
"Destination: Toronto, FR",This example is about TotalVolume,contradiction
"Destination: Tokyo, AU",This example is about HousebillNumber,contradiction
Number of Packages: 10,This example is about TotalPackages,entailment
Service Type: Ground,This example is about TotalPackages,contradiction
Shipment Status: Picked up at 2023-12-10 00:04:50,This example is about Destination,contradiction
Scheduled DateAndTimes: 2023-08-13 03:20:33,This example is about TotalWeight,contradiction
Package Volume: 0.45 m³,This example is about TotalVolume,entailment
"Destination: Paris, US",This example is about Destination,entailment
Service Type: Ground,This example is about HousebillNumber,contradiction
Service Type: Freight,This example is about TotalWeight,contradiction
Scheduled DateAndTimes: 2023-04-21 10:18:31,This example is about Destination,contradiction
Scheduled DateAndTimes: 2023-11-01 18:24:17,This example is about Timestamp,contradiction
Scheduled DateAndTimes: 2023-12-10 12:35:59,This example is about HousebillNumber,contradiction
Package Volume: 0.557 m³,This example is about TotalVolume,entailment
"Destination: Tokyo, FR",This example is about HousebillNumber,contradiction
Number of Packages: 3,This example is about Timestamp,contradiction
"Destination: Dubai, CN",This example is about HousebillNumber,contradiction
Package Weight: 47.47 KG,This example is about HousebillNumber,contradiction
Shipment Status: Customs clearance at 2023-02-10 12:01:41,This example is about Timestamp,entailment
Package Volume: 0.329 m³,This example is about TotalVolume,entailment
Scheduled DateAndTimes: 2024-10-17 10:33:31,This example is about DateAndTimes,entailment
Package Weight: 34.03 KG,This example is about TotalWeight,entailment
Shipment Status: Customs clearance at 2024-12-20 10:06:40,This example is about Timestamp,entailment
Shipment Status: Out for delivery at 2023-03-14 23:27:21,This example is about TotalPackages,contradiction
Package Volume: 0.041 m³,This example is about TotalWeight,contradiction
Service Type: Next Day Air,This example is about Origin,contradiction
Number of Packages: 1,This example is about TotalPackages,entailment
Scheduled DateAndTimes: 2024-09-24 21:38:28,This example is about DateAndTimes,entailment
Service Type: Express,This example is about ProductType,entailment
Package Volume: 0.611 m³,This example is about Destination,contradiction
Package Volume: 0.321 m³,This example is about TotalVolume,entailment
Service Type: Economy,This example is about TotalVolume,contradiction
Shipment Status: Out for delivery at 2023-06-15 00:47:11,This example is about TotalPackages,contradiction
Number of Packages: 2,This example is about TotalPackages,entailment
Package Weight: 29.67 KG,This example is about DateAndTimes,contradiction
Number of Packages: 9,This example is about TotalPackages,entailment
Shipment ID: FDX675097717146,This example is about HousebillNumber,entailment
Shipment ID: DHL764299450633,This example is about HousebillNumber,entailment
Package Weight: 8.68 KG,This example is about Timestamp,contradiction
"Origin: London, CN",This example is about Origin,entailment
Service Type: Standard,This example is about Timestamp,contradiction
"Origin: New York, AU",This example is about Origin,entailment
Package Volume: 0.232 m³,This example is about Destination,contradiction
"Destination: Sydney, US",This example is about Destination,entailment
Scheduled DateAndTimes: 2024-05-22 13:52:50,This example is about TotalVolume,contradiction
"Destination: Paris, CA",This example is about TotalWeight,contradiction
Scheduled DateAndTimes: 2024-08-07 21:31:17,This example is about DateAndTimes,entailment
Package Volume: 0.165 m³,This example is about TotalVolume,entailment
Number of Packages: 10,This example is about DateAndTimes,contradiction
Package Weight: 12.8 KG,This example is about ProductType,contradiction
Service Type: Next Day Air,This example is about ProductType,entailment
"Origin: Berlin, FR",This example is about Origin,entailment
"Origin: Dubai, FR",This example is about TotalVolume,contradiction
Scheduled DateAndTimes: 2023-02-17 00:00:24,This example is about Origin,contradiction
Scheduled DateAndTimes: 2024-05-15 14:35:43,This example is about TotalPackages,contradiction
Shipment Status: Picked up at 2024-06-07 00:01:22,This example is about Timestamp,entailment
Scheduled DateAndTimes: 2024-04-21 19:01:41,This example is about DateAndTimes,entailment
Number of Packages: 8,This example is about TotalPackages,entailment
Scheduled DateAndTimes: 2024-07-22 07:40:42,This example is about TotalWeight,contradiction
"Destination: Sydney, IN",This example is about TotalWeight,contradiction
Package Weight: 24.06 KG,This example is about HousebillNumber,contradiction
Shipment ID: UPS610227689405,This example is about HousebillNumber,entailment
Package Volume: 0.5 m³,This example is about TotalVolume,entailment
"Origin: Beijing, AU",This example is about DateAndTimes,contradiction
Service Type: Express,This example is about Origin,contradiction
Package Weight: 89.01 KG,This example is about TotalWeight,entailment
"Destination: Dubai, IN",This example is about Destination,entailment
Service Type: Ground,This example is about ProductType,entailment
Package Weight: 40.43 KG,This example is about Origin,contradiction
Scheduled DateAndTimes: 2024-03-08 18:18:28,This example is about TotalWeight,contradiction
"Origin: Sydney, IN",This example is about Origin,entailment
Service Type: Freight,This example is about ProductType,entailment
Service Type: Freight,This example is about ProductType,entailment
Shipment Status: Out for delivery at 2024-11-19 00:36:45,This example is about Timestamp,entailment
"Origin: London, AE",This example is about Destination,contradiction
"Destination: Mumbai, AU",This example is about HousebillNumber,contradiction
"Origin: Toronto, CN",This example is about DateAndTimes,contradiction
Number of Packages: 9,This example is about Destination,contradiction
Scheduled DateAndTimes: 2024-11-02 07:24:39,This example is about TotalVolume,contradiction
Number of Packages: 10,This example is about Timestamp,contradiction
Package Weight: 65.33 KG,This example is about TotalWeight,entailment
"Destination: Tokyo, DE",This example is about Destination,entailment
Shipment Status: Out for delivery at 2023-01-17 03:57:58,This example is about ProductType,contradiction
Package Volume: 0.345 m³,This example is about TotalVolume,entailment
Number of Packages: 7,This example is about DateAndTimes,contradiction
Shipment Status: Departed facility at 2024-11-27 07:23:13,This example is about Timestamp,entailment
Package Weight: 76.4 KG,This example is about Timestamp,contradiction
"Destination: Tokyo, DE",This example is about Destination,entailment
"Destination: Tokyo, AE",This example is about Origin,contradiction
Package Volume: 0.377 m³,This example is about HousebillNumber,contradiction
Number of Packages: 4,This example is about HousebillNumber,contradiction
Package Volume: 0.928 m³,This example is about TotalVolume,entailment
Service Type: 2nd Day Air,This example is about ProductType,entailment
Shipment ID: 1Z361911616950,This example is about HousebillNumber,entailment
Shipment Status: Customs clearance at 2023-05-16 03:31:40,This example is about Timestamp,entailment
Shipment Status: Arrived at facility at 2023-02-15 14:46:55,This example is about HousebillNumber,contradiction
Number of Packages: 10,This example is about TotalPackages,entailment
Package Volume: 0.917 m³,This example is about TotalWeight,contradiction
Service Type: Ground,This example is about ProductType,entailment
Scheduled DateAndTimes: 2024-08-06 15:36:00,This example is about Destination,contradiction
Shipment Status: Exception at 2023-08-29 14:05:51,This example is about DateAndTimes,contradiction
Package Weight: 88.91 KG,This example is about TotalWeight,entailment
Shipment Status: Delivered at 2023-07-28 16:11:10,This example is about DateAndTimes,contradiction
Number of Packages: 5,This example is about HousebillNumber,contradiction
Shipment Status: Picked up at 2023-03-17 07:53:17,This example is about ProductType,contradiction
"Destination: Mumbai, JP",This example is about HousebillNumber,contradiction
Package Volume: 0.991 m³,This example is about TotalVolume,entailment
Scheduled DateAndTimes: 2024-09-28 10:35:54,This example is about Timestamp,contradiction
Shipment Status: Departed facility at 2023-03-06 07:19:33,This example is about Timestamp,entailment
Service Type: Economy,This example is about ProductType,entailment
"Origin: Beijing, DE",This example is about TotalPackages,contradiction
Number of Packages: 7,This example is about Origin,contradiction
Shipment Status: Out for delivery at 2024-06-28 02:09:39,This example is about DateAndTimes,contradiction
Package Volume: 0.855 m³,This example is about Destination,contradiction
Shipment Status: Arrived at facility at 2024-01-12 21:54:32,This example is about TotalPackages,contradiction
Shipment Status: Departed facility at 2024-09-21 05:19:33,This example is about TotalWeight,contradiction
"Destination: Berlin, CA",This example is about TotalWeight,contradiction
Package Volume: 0.339 m³,This example is about TotalWeight,contradiction
Shipment ID: UPS250520808335,This example is about HousebillNumber,entailment
Number of Packages: 8,This example is about TotalPackages,entailment
Service Type: Freight,This example is about TotalWeight,contradiction
"Destination: Sydney, JP",This example is about Destination,entailment
Number of Packages: 1,This example is about TotalPackages,entailment
Package Weight: 37.24 KG,This example is about HousebillNumber,contradiction
Service Type: 2nd Day Air,This example is about TotalVolume,contradiction
"Destination: Berlin, CA",This example is about HousebillNumber,contradiction
Service Type: Express,This example is about ProductType,entailment
"Origin: New York, CN",This example is about Destination,contradiction
Service Type: Economy,This example is about ProductType,entailment
Package Weight: 72.69 KG,This example is about Origin,contradiction
Package Weight: 36.63 KG,This example is about TotalWeight,entailment
Shipment Status: Arrived at facility at 2023-10-14 22:57:19,This example is about Timestamp,entailment
Service Type: Standard,This example is about Timestamp,contradiction
Service Type: Standard,This example is about ProductType,entailment
Package Volume: 0.229 m³,This example is about TotalVolume,entailment
"Origin: Beijing, JP",This example is about Origin,entailment
Service Type: Economy,This example is about ProductType,entailment
"Destination: London, AU",This example is about TotalVolume,contradiction
Package Weight: 79.02 KG,This example is about TotalWeight,entailment
"Destination: Mumbai, US",This example is about Destination,entailment
Shipment ID: DHL687095668436,This example is about HousebillNumber,entailment
Number of Packages: 4,This example is about TotalPackages,entailment
"Destination: Toronto, CN",This example is about Destination,entailment
Scheduled DateAndTimes: 2024-10-05 19:09:05,This example is about HousebillNumber,contradiction
"Origin: Beijing, AU",This example is about Origin,entailment
Service Type: Economy,This example is about DateAndTimes,contradiction
Number of Packages: 1,This example is about TotalPackages,entailment
Scheduled DateAndTimes: 2023-04-29 06:16:25,This example is about HousebillNumber,contradiction
"Destination: New York, JP",This example is about Destination,entailment
"Origin: Dubai, CA",This example is about Origin,entailment
Number of Packages: 1,This example is about TotalPackages,entailment
Service Type: 2nd Day Air,This example is about Timestamp,contradiction
Service Type: Express,This example is about Timestamp,contradiction
Number of Packages: 7,This example is about ProductType,contradiction
Package Volume: 0.899 m³,This example is about HousebillNumber,contradiction
"Destination: Sydney, GB",This example is about ProductType,contradiction
Shipment Status: Picked up at 2024-09-22 23:33:11,This example is about Origin,contradiction
Number of Packages: 4,This example is about DateAndTimes,contradiction
Shipment Status: Arrived at facility at 2023-08-01 18:35:55,This example is about TotalWeight,contradiction
Package Volume: 0.956 m³,This example is about TotalVolume,entailment
"Destination: Berlin, GB",This example is about Destination,entailment
Number of Packages: 6,This example is about TotalPackages,entailment
"Destination: Dubai, AE",This example is about Destination,entailment
Shipment ID: UPS683095031022,This example is about HousebillNumber,entailment
Package Weight: 30.58 KG,This example is about TotalWeight,entailment
Shipment ID: 1Z442937221835,This example is about HousebillNumber,entailment
Scheduled DateAndTimes: 2024-04-01 23:39:17,This example is about TotalWeight,contradiction
"Destination: Dubai, IN",This example is about TotalWeight,contradiction
Package Volume: 0.152 m³,This example is about Destination,contradiction
Number of Packages: 2,This example is about Origin,contradiction
Number of Packages: 1,This example is about ProductType,contradiction
Package Volume: 0.307 m³,This example is about TotalVolume,entailment
Number of Packages: 9,This example is about HousebillNumber,contradiction
Package Volume: 0.991 m³,This example is about HousebillNumber,contradiction
Package Weight: 7.14 KG,This example is about TotalWeight,entailment
Number of Packages: 8,This example is about ProductType,contradiction
"Origin: Sydney, CA",This example is about Destination,contradiction
"Destination: Mumbai, FR",This example is about TotalWeight,contradiction
Package Volume: 0.769 m³,This example is about TotalVolume,entailment
Service Type: 2nd Day Air,This example is about DateAndTimes,contradiction
Scheduled DateAndTimes: 2023-08-17 01:00:55,This example is about TotalPackages,contradiction
"Origin: Tokyo, IN",This example is about Origin,entailment
Package Weight: 90.9 KG,This example is about Timestamp,contradiction
Number of Packages: 3,This example is about TotalPackages,entailment
Shipment ID: UPS931787541534,This example is about HousebillNumber,entailment
Package Weight: 56.54 KG,This example is about TotalWeight,entailment
Shipment Status: Delivered at 2023-02-07 01:02:27,This example is about ProductType,contradiction
Package Volume: 0.024 m³,This example is about TotalVolume,entailment
Number of Packages: 9,This example is about TotalPackages,entailment
Service Type: Next Day Air,This example is about ProductType,entailment
"Origin: New York, FR",This example is about Origin,entailment
Shipment ID: UPS871902702999,This example is about HousebillNumber,entailment
Shipment Status: Arrived at facility at 2023-04-10 09:15:34,This example is about TotalWeight,contradiction
"Destination: London, CA",This example is about Destination,entailment
Package Volume: 0.349 m³,This example is about TotalVolume,entailment
Shipment Status: In transit at 2023-06-26 08:05:57,This example is about Timestamp,entailment
Scheduled DateAndTimes: 2023-03-19 02:21:25,This example is about DateAndTimes,entailment
Shipment ID: FDX536470348120,This example is about HousebillNumber,entailment
"Destination: Berlin, CN",This example is about Destination,entailment
"Origin: Berlin, AU",This example is about Origin,entailment
"Destination: Dubai, CN",This example is about Destination,entailment
Service Type: Economy,This example is about TotalPackages,contradiction
Package Volume: 0.579 m³,This example is about HousebillNumber,contradiction
Package Weight: 86.15 KG,This example is about DateAndTimes,contradiction
Shipment ID: UPS967364994626,This example is about HousebillNumber,entailment
Number of Packages: 10,This example is about Destination,contradiction
Number of Packages: 2,This example is about TotalPackages,entailment
Service Type: Express,This example is about HousebillNumber,contradiction
Number of Packages: 2,This example is about TotalPackages,entailment
"Origin: Beijing, AE",This example is about Destination,contradiction
"Destination: Dubai, AU",This example is about TotalVolume,contradiction
Scheduled DateAndTimes: 2024-12-27 22:13:16,This example is about TotalPackages,contradiction
"Destination: Berlin, CA",This example is about TotalPackages,contradiction
"Origin: Tokyo, AE",This example is about Timestamp,contradiction
Shipment Status: Delivered at 2024-08-17 00:22:39,This example is about Origin,contradiction
Number of Packages: 2,This example is about TotalPackages,entailment
Service Type: Same Day,This example is about HousebillNumber,contradiction
Service Type: Ground,This example is about ProductType,entailment
Shipment Status: Delivered at 2024-06-17 17:44:29,This example is about Timestamp,entailment
"Origin: Beijing, CN",This example is about Origin,entailment
Package Volume: 0.866 m³,This example is about HousebillNumber,contradiction
"Origin: London, DE",This example is about Origin,entailment
Package Weight: 48.29 KG,This example is about HousebillNumber,contradiction
Package Weight: 39.85 KG,This example is about TotalWeight,entailment
"Origin: Mumbai, GB",This example is about TotalPackages,contradiction
Package Volume: 0.867 m³,This example is about TotalVolume,entailment
Number of Packages: 6,This example is about TotalPackages,entailment
"Destination: London, DE",This example is about Destination,entailment
Number of Packages: 5,This example is about TotalPackages,entailment
Package Weight: 13.37 KG,This example is about TotalWeight,entailment
Number of Packages: 2,This example is about TotalWeight,contradiction
Scheduled DateAndTimes: 2023-06-26 12:36:58,This example is about DateAndTimes,entailment
Service Type: Same Day,This example is about TotalPackages,contradiction
"Destination: Sydney, GB",This example is about TotalVolume,contradiction
Package Weight: 66.43 KG,This example is about TotalPackages,contradiction
Service Type: Economy,This example is about ProductType,entailment
"Destination: New York, AU",This example is about Destination,entailment
Package Weight: 22.9 KG,This example is about TotalWeight,entailment
Number of Packages: 6,This example is about HousebillNumber,contradiction
Package Weight: 43.17 KG,This example is about Destination,contradiction
Package Weight: 89.82 KG,This example is about TotalWeight,entailment
Shipment Status: Arrived at facility at 2023-07-03 19:23:41,This example is about Timestamp,entailment
Number of Packages: 3,This example is about HousebillNumber,contradiction
"Destination: Berlin, JP",This example is about Destination,entailment
Shipment ID: 1Z896992817133,This example is about HousebillNumber,entailment
Number of Packages: 8,This example is about TotalPackages,entailment
Shipment Status: Picked up at 2023-02-04 02:20:42,This example is about Timestamp,entailment
Service Type: Express,This example is about ProductType,entailment
Scheduled DateAndTimes: 2024-06-07 23:47:05,This example is about DateAndTimes,entailment
Shipment Status: Customs clearance at 2023-04-20 04:28:20,This example is about Timestamp,entailment
Package Volume: 0.344 m³,This example is about Destination,contradiction
Shipment Status: Out for delivery at 2023-02-14 09:54:24,This example is about Timestamp,entailment
Package Weight: 51.33 KG,This example is about TotalWeight,entailment
"Destination: Beijing, CA",This example is about Destination,entailment
Package Volume: 0.934 m³,This example is about HousebillNumber,contradiction
"Destination: Paris, GB",This example is about TotalPackages,contradiction
Package Weight: 86.87 KG,This example is about DateAndTimes,contradiction
Scheduled DateAndTimes: 2024-03-17 22:44:59,This example is about Timestamp,contradiction
Service Type: Ground,This example is about Origin,contradiction
Number of Packages: 4,This example is about TotalPackages,entailment
Shipment ID: DHL589926448969,This example is about HousebillNumber,entailment
Number of Packages: 10,This example is about Timestamp,contradiction
Scheduled DateAndTimes: 2024-11-13 19:23:44,This example is about Timestamp,contradiction
Shipment ID: UPS828536605669,This example is about HousebillNumber,entailment
"Destination: Toronto, AE",This example is about Timestamp,contradiction
Service Type: Express,This example is about HousebillNumber,contradiction
Package Weight: 21.02 KG,This example is about Timestamp,contradiction
"Origin: Berlin, CN",This example is about Origin,entailment
Shipment Status: Delivered at 2023-01-31 22:52:45,This example is about Timestamp,entailment
Package Volume: 0.083 m³,This example is about TotalVolume,entailment
Scheduled DateAndTimes: 2024-05-26 14:37:23,This example is about TotalPackages,contradiction
"Origin: Berlin, GB",This example is about Origin,entailment
Number of Packages: 2,This example is about Origin,contradiction
Scheduled DateAndTimes: 2024-06-10 20:49:35,This example is about ProductType,contradiction
"Destination: New York, FR",This example is about Destination,entailment
Shipment ID: UPS719484369702,This example is about HousebillNumber,entailment
Number of Packages: 1,This example is about TotalPackages,entailment
Scheduled DateAndTimes: 2023-08-21 09:19:24,This example is about DateAndTimes,entailment
Service Type: Freight,This example is about HousebillNumber,contradiction
"Destination: Dubai, US",This example is about Destination,entailment
Package Weight: 66.46 KG,This example is about DateAndTimes,contradiction
Number of Packages: 4,This example is about TotalPackages,entailment
Scheduled DateAndTimes: 2024-03-23 04:56:49,This example is about DateAndTimes,entailment
Package Volume: 0.335 m³,This example is about ProductType,contradiction
Number of Packages: 5,This example is about TotalPackages,entailment
Shipment Status: Picked up at 2024-04-28 15:09:34,This example is about DateAndTimes,contradiction
Number of Packages: 6,This example is about Timestamp,contradiction
Service Type: Same Day,This example is about ProductType,entailment
Number of Packages: 8,This example is about TotalPackages,entailment
Shipment Status: Out for delivery at 2024-02-06 14:39:27,This example is about Timestamp,entailment
Shipment Status: Out for delivery at 2023-10-13 20:09:49,This example is about HousebillNumber,contradiction
Shipment ID: UPS553766664953,This example is about HousebillNumber,entailment
Shipment Status: In transit at 2024-12-23 03:44:46,This example is about TotalVolume,contradiction
Scheduled DateAndTimes: 2023-07-18 19:24:07,This example is about ProductType,contradiction
Package Weight: 11.61 KG,This example is about Destination,contradiction
Shipment ID: DHL507743595889,This example is about HousebillNumber,entailment
Package Volume: 0.158 m³,This example is about TotalVolume,entailment
Shipment Status: Customs clearance at 2024-08-07 06:46:22,This example is about Destination,contradiction
Package Weight: 96.78 KG,This example is about Timestamp,contradiction
Scheduled DateAndTimes: 2023-06-21 00:39:16,This example is about Origin,contradiction
Shipment ID: UPS542437006461,This example is about HousebillNumber,entailment
Service Type: Freight,This example is about ProductType,entailment
Package Volume: 0.588 m³,This example is about TotalVolume,entailment
Scheduled DateAndTimes: 2024-07-12 09:54:05,This example is about DateAndTimes,entailment
Package Weight: 77.92 KG,This example is about Origin,contradiction
Package Weight: 3.99 KG,This example is about TotalWeight,entailment
Package Volume: 0.566 m³,This example is about TotalWeight,contradiction
"Origin: Dubai, CA",This example is about Timestamp,contradiction
Scheduled DateAndTimes: 2023-08-11 07:55:35,This example is about DateAndTimes,entailment
Scheduled DateAndTimes: 2023-07-30 10:49:14,This example is about DateAndTimes,entailment
"Destination: New York, FR",This example is about TotalVolume,contradiction
Shipment Status: Exception at 2023-11-09 04:58:19,This example is about Timestamp,entailment
Scheduled DateAndTimes: 2024-02-16 00:09:13,This example is about TotalWeight,contradiction
Package Weight: 59.58 KG,This example is about DateAndTimes,contradiction
"Origin: Tokyo, CA",This example is about TotalVolume,contradiction
"Destination: Tokyo, CN",This example is about DateAndTimes,contradiction
Service Type: Next Day Air,This example is about ProductType,entailment
"Origin: Berlin, FR",This example is about Origin,entailment
Shipment Status: Exception at 2024-06-22 00:40:10,This example is about Timestamp,entailment
Scheduled DateAndTimes: 2023-03-11 17:10:54,This example is about Timestamp,contradiction
"Destination: Mumbai, AU",This example is about TotalWeight,contradiction
Shipment Status: Picked up at 2024-05-05 23:57:35,This example is about Origin,contradiction
"Origin: Mumbai, CA",This example is about Origin,entailment
"Origin: Sydney, JP",This example is about Destination,contradiction
Number of Packages: 2,This example is about TotalPackages,entailment
Shipment Status: Exception at 2024-11-26 03:33:00,This example is about Timestamp,entailment
"Destination: Sydney, GB",This example is about Destination,entailment
"Origin: Berlin, AU",This example is about ProductType,contradiction
Shipment Status: Delivered at 2023-02-11 06:59:53,This example is about Timestamp,entailment
Package Volume: 0.787 m³,This example is about Origin,contradiction
Scheduled DateAndTimes: 2023-05-25 22:22:35,This example is about DateAndTimes,entailment
"Origin: London, JP",This example is about Destination,contradiction
"Origin: Sydney, AE",This example is about Origin,entailment
Service Type: 2nd Day Air,This example is about ProductType,entailment
Shipment ID: FDX187332881148,This example is about HousebillNumber,entailment
Package Weight: 58.88 KG,This example is about TotalVolume,contradiction
Package Volume: 0.366 m³,This example is about Origin,contradiction
Scheduled DateAndTimes: 2024-06-11 19:26:11,This example is about DateAndTimes,entailment
Package Weight: 58.42 KG,This example is about ProductType,contradiction
Service Type: 2nd Day Air,This example is about ProductType,entailment
Package Volume: 0.307 m³,This example is about TotalVolume,entailment
Package Weight: 59.89 KG,This example is about ProductType,contradiction
Package Weight: 51.0 KG,This example is about TotalWeight,entailment
"Destination: Berlin, JP",This example is about Destination,entailment
Service Type: Freight,This example is about ProductType,entailment
Shipment Status: Arrived at facility at 2024-06-26 17:24:35,This example is about Timestamp,entailment
"Origin: Tokyo, CN",This example is about Origin,entailment
Shipment Status: Delivered at 2023-01-27 06:42:41,This example is about Timestamp,entailment
Scheduled DateAndTimes: 2024-09-04 03:30:52,This example is about Destination,contradiction
"Origin: Tokyo, US",This example is about TotalPackages,contradiction
"Destination: Mumbai, CN",This example is about TotalVolume,contradiction
Package Volume: 0.687 m³,This example is about TotalVolume,entailment
Number of Packages: 6,This example is about TotalWeight,contradiction
Service Type: Express,This example is about ProductType,entailment
Shipment Status: Departed facility at 2024-05-07 12:13:05,This example is about Origin,contradiction
Number of Packages: 2,This example is about Timestamp,contradiction
Shipment ID: 1Z570776814756,This example is about HousebillNumber,entailment
Package Volume: 0.538 m³,This example is about TotalVolume,entailment
Shipment Status: Arrived at facility at 2024-07-01 09:37:07,This example is about Timestamp,entailment
"Destination: Mumbai, IN",This example is about Destination,entailment
Service Type: 2nd Day Air,This example is about ProductType,entailment
Number of Packages: 5,This example is about TotalPackages,entailment
Scheduled DateAndTimes: 2023-08-12 16:20:31,This example is about DateAndTimes,entailment
Service Type: Freight,This example is about TotalWeight,contradiction
Package Weight: 11.69 KG,This example is about TotalWeight,entailment
"Destination: Sydney, AE",This example is about TotalWeight,contradiction
Number of Packages: 8,This example is about HousebillNumber,contradiction
Package Volume: 0.737 m³,This example is about TotalVolume,entailment
Service Type: Express,This example is about TotalPackages,contradiction
Package Weight: 19.84 KG,This example is about TotalPackages,contradiction
Number of Packages: 6,This example is about TotalPackages,entailment
Package Weight: 34.69 KG,This example is about Timestamp,contradiction
Scheduled DateAndTimes: 2023-01-19 12:03:20,This example is about HousebillNumber,contradiction
Shipment Status: Out for delivery at 2024-07-28 22:28:06,This example is about Timestamp,entailment
Service Type: Economy,This example is about ProductType,entailment
Number of Packages: 8,This example is about TotalPackages,entailment
Package Volume: 0.081 m³,This example is about Destination,contradiction
Number of Packages: 8,This example is about TotalPackages,entailment
Shipment ID: UPS582144883613,This example is about HousebillNumber,entailment
"Origin: Berlin, CA",This example is about Origin,entailment
"Origin: Beijing, US",This example is about Destination,contradiction
Scheduled DateAndTimes: 2023-03-27 10:34:14,This example is about DateAndTimes,entailment
"Origin: Paris, US",This example is about Origin,entailment
Package Volume: 0.041 m³,This example is about TotalWeight,contradiction
Package Volume: 0.531 m³,This example is about Destination,contradiction
Shipment Status: Picked up at 2023-03-17 07:53:17,This example is about Timestamp,entailment
Package Weight: 39.07 KG,This example is about Timestamp,contradiction
Number of Packages: 2,This example is about TotalPackages,entailment
Package Weight: 98.31 KG,This example is about TotalVolume,contradiction
Package Volume: 0.162 m³,This example is about TotalVolume,entailment
Package Weight: 50.08 KG,This example is about TotalWeight,entailment
Service Type: Freight,This example is about ProductType,entailment
Number of Packages: 4,This example is about TotalWeight,contradiction
Scheduled DateAndTimes: 2024-09-21 08:08:05,This example is about DateAndTimes,entailment
Number of Packages: 7,This example is about TotalWeight,contradiction
Package Volume: 0.886 m³,This example is about TotalVolume,entailment
Service Type: 2nd Day Air,This example is about DateAndTimes,contradiction
Number of Packages: 10,This example is about TotalPackages,entailment
Package Volume: 0.307 m³,This example is about TotalVolume,entailment
Package Volume: 0.938 m³,This example is about DateAndTimes,contradiction
Package Volume: 0.369 m³,This example is about TotalVolume,entailment
Service Type: Express,This example is about TotalWeight,contradiction
"Destination: Sydney, US",This example is about TotalVolume,contradiction
Service Type: Standard,This example is about ProductType,entailment
"Origin: Toronto, US",This example is about Origin,entailment
Number of Packages: 10,This example is about TotalPackages,entailment
Number of Packages: 1,This example is about TotalWeight,contradiction
"Destination: Paris, CN",This example is about Timestamp,contradiction
Number of Packages: 10,This example is about TotalPackages,entailment
Package Volume: 0.687 m³,This example is about TotalVolume,entailment
Number of Packages: 10,This example is about TotalPackages,entailment
Shipment Status: In transit at 2023-08-12 05:15:58,This example is about Origin,contradiction
"Origin: Sydney, GB",This example is about DateAndTimes,contradiction
